Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,calc. pI
FANCD2,1471,15,6,6,6,Q9BXW9,4,Fanconi anemia group D2 protein OS=Homo sapiens GN=FANCD2 PE=1 SV=1,FANCD2,166.4,183,6.24
PPL,1756,10,3,3,3,O60437,2,Periplakin OS=Homo sapiens GN=PPL PE=1 SV=4,PPL,204.6,181,5.6
SERPINB12,405,10,5,5,5,Q96P63,19,Serpin B12 OS=Homo sapiens GN=SERPINB12 PE=1 SV=1,SERPINB12,46.2,179,5.53
MMS22L,1243,7,3,3,3,Q6ZRQ5,3,Protein MMS22-like OS=Homo sapiens GN=MMS22L PE=1 SV=3,MMS22L,142.2,177,7.12
PAPD4,484,11,2,2,2,Q6PIY7,4,Poly(A) RNA polymerase GLD2 OS=Homo sapiens GN=PAPD4 PE=1 SV=1,PAPD4,56.0,177,9.38
PCGF3,242,9,2,2,2,Q3KNV8,11,Polycomb group RING finger protein 3 OS=Homo sapiens GN=PCGF3 PE=1 SV=1,PCGF3,28.1,174,8.22
CLK2,499,8,2,2,2,P49760,6,Dual specificity protein kinase CLK2 OS=Homo sapiens GN=CLK2 PE=1 SV=1,CLK2,60.1,173,9.66
NUP133,1156,26,5,5,5,Q8WUM0,4,Nuclear pore complex protein Nup133 OS=Homo sapiens GN=NUP133 PE=1 SV=2,NUP133,128.9,172,5.1
CUX1,678,6,2,2,2,Q13948,3,Protein CASP OS=Homo sapiens GN=CUX1 PE=1 SV=2,CUX1,77.4,168,5.44
RPUSD4,377,13,5,5,5,Q96CM3,18,RNA pseudouridylate synthase domain-containing protein 4 OS=Homo sapiens GN=RPUSD4 PE=2 SV=1,RPUSD4,42.2,168,9.88
MAP4K4,1239,16,3,3,3,O95819,4,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens GN=MAP4K4 PE=1 SV=2,MAP4K4,142.0,168,7.46
TFAP4,338,10,2,2,2,Q01664,10,Transcription factor AP-4 OS=Homo sapiens GN=TFAP4 PE=1 SV=2,TFAP4,38.7,167,5.87
FLG,4061,14,8,8,8,P20930,8,SWISS-PROT:P20930 Tax_Id=9606 Gene_Symbol=FLG Filaggrin,FLG,434.9,166,9.25
TYK2,1187,14,4,4,3,P29597,4,Non-receptor tyrosine-protein kinase TYK2 OS=Homo sapiens GN=TYK2 PE=1 SV=3,TYK2,133.6,165,7.15
CENPT,561,11,2,2,2,Q96BT3,5,Centromere protein T OS=Homo sapiens GN=CENPT PE=1 SV=2,CENPT,60.4,164,6.58
LRIF1,769,14,6,6,6,Q5T3J3,10,Ligand-dependent nuclear receptor-interacting factor 1 OS=Homo sapiens GN=LRIF1 PE=1 SV=1,LRIF1,84.5,164,9.72
FASTKD1,847,7,2,2,2,Q53R41,4,FAST kinase domain-containing protein 1 OS=Homo sapiens GN=FASTKD1 PE=1 SV=1,FASTKD1,97.3,163,7.74
MACF1,5938,46,4,4,4,Q9UPN3-5,1,"Isoform 4 of Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1",MACF1,669.7,162,5.3
SMC6,1091,13,3,3,3,Q96SB8,5,Structural maintenance of chromosomes protein 6 OS=Homo sapiens GN=SMC6 PE=1 SV=2,SMC6,126.2,162,6.99
PGRMC1,195,11,3,3,3,O00264,16,Membrane-associated progesterone receptor component 1 OS=Homo sapiens GN=PGRMC1 PE=1 SV=3,PGRMC1,21.7,162,4.7
GTF3C4,822,17,4,4,4,Q9UKN8,7,General transcription factor 3C polypeptide 4 OS=Homo sapiens GN=GTF3C4 PE=1 SV=2,GTF3C4,91.9,161,6.65
LRCH4,683,10,3,3,3,O75427,8,Leucine-rich repeat and calponin homology domain-containing protein 4 OS=Homo sapiens GN=LRCH4 PE=1 SV=2,LRCH4,73.4,161,8.22
RER1,196,8,2,2,2,O15258,15,Protein RER1 OS=Homo sapiens GN=RER1 PE=1 SV=1,RER1,22.9,161,9.54
S100A8,93,18,5,5,5,P05109,47,Protein S100-A8 OS=Homo sapiens GN=S100A8 PE=1 SV=1,S100A8,10.8,159,7.03
DDX28,540,17,4,4,4,Q9NUL7,11,Probable ATP-dependent RNA helicase DDX28 OS=Homo sapiens GN=DDX28 PE=1 SV=2,DDX28,59.5,159,10.42
KIFC3,833,22,5,5,5,Q9BVG8,6,Kinesin-like protein KIFC3 OS=Homo sapiens GN=KIFC3 PE=1 SV=4,KIFC3,92.7,159,7.69
RAVER2,691,6,2,2,2,Q9HCJ3,2,Ribonucleoprotein PTB-binding 2 OS=Homo sapiens GN=RAVER2 PE=1 SV=2,RAVER2,74.3,157,7.47
NLE1,485,7,2,2,2,Q9NVX2,7,Notchless protein homolog 1 OS=Homo sapiens GN=NLE1 PE=1 SV=4,NLE1,53.3,156,7.34
ATXN7,892,11,2,2,2,O15265,3,Ataxin-7 OS=Homo sapiens GN=ATXN7 PE=1 SV=1,ATXN7,95.4,153,9.85
POLR1C,346,8,2,2,2,O15160,8,DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens GN=POLR1C PE=1 SV=1,POLR1C,39.2,153,5.5
DIDO1,2240,14,3,3,2,Q9BTC0,2,Death-inducer obliterator 1 OS=Homo sapiens GN=DIDO1 PE=1 SV=5,DIDO1,243.7,153,7.88
SDR39U1,293,6,2,2,2,Q9NRG7-2,13,Isoform 2 of Epimerase family protein SDR39U1 OS=Homo sapiens GN=SDR39U1,SDR39U1,31.1,150,9.04
SYMPK,1274,11,4,4,4,Q92797,7,Symplekin OS=Homo sapiens GN=SYMPK PE=1 SV=2,SYMPK,141.1,149,6.13
TIMP1,207,18,2,2,2,P01033,10,Metalloproteinase inhibitor 1 OS=Homo sapiens GN=TIMP1 PE=1 SV=1,TIMP1,23.2,149,8.1
ZBTB40,1239,18,5,5,5,Q9NUA8,5,Zinc finger and BTB domain-containing protein 40 OS=Homo sapiens GN=ZBTB40 PE=1 SV=4,ZBTB40,138.0,148,6.57
EXOSC1,195,10,2,2,2,Q9Y3B2,15,Exosome complex component CSL4 OS=Homo sapiens GN=EXOSC1 PE=1 SV=1,EXOSC1,21.4,148,8.24
LSM4,139,8,2,2,2,Q9Y4Z0,12,U6 snRNA-associated Sm-like protein LSm4 OS=Homo sapiens GN=LSM4 PE=1 SV=1,LSM4,15.3,146,9.99
RCL1,373,20,5,5,5,Q9Y2P8,14,RNA 3'-terminal phosphate cyclase-like protein OS=Homo sapiens GN=RCL1 PE=1 SV=3,RCL1,40.8,145,9.26
CDC16,620,13,3,3,3,Q13042,6,Cell division cycle protein 16 homolog OS=Homo sapiens GN=CDC16 PE=1 SV=2,CDC16,71.6,145,5.85
BACH1,736,10,4,4,4,O14867,6,Transcription regulator protein BACH1 OS=Homo sapiens GN=BACH1 PE=1 SV=2,BACH1,81.9,145,5.05
POLR1B,1135,8,2,2,2,Q9H9Y6,1,DNA-directed RNA polymerase I subunit RPA2 OS=Homo sapiens GN=POLR1B PE=1 SV=2,POLR1B,128.1,144,7.83
GLTSCR2,478,24,2,2,2,Q9NZM5,7,Glioma tumor suppressor candidate region gene 2 protein OS=Homo sapiens GN=GLTSCR2 PE=1 SV=2,GLTSCR2,54.4,143,10.32
SP110,689,8,4,4,4,Q9HB58,6,Sp110 nuclear body protein OS=Homo sapiens GN=SP110 PE=1 SV=5,SP110,78.3,142,8.87
PSMD3,534,9,2,2,2,O43242,7,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=1 SV=2,PSMD3,60.9,141,8.44
TAF5L,589,17,2,2,2,O75529,5,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L OS=Homo sapiens GN=TAF5L PE=1 SV=1,TAF5L,66.1,140,5.88
SPICE1,855,12,2,2,2,Q8N0Z3,3,Spindle and centriole-associated protein 1 OS=Homo sapiens GN=SPICE1 PE=1 SV=1,SPICE1,96.2,139,7.44
Q3SX09,201,11,2,2,2,Q3SX09,9,TREMBL:Q3SX09 (Bos taurus) similar to HBG protein,,22.0,138,9.39
SSH1,1049,12,3,3,3,Q8WYL5,4,Protein phosphatase Slingshot homolog 1 OS=Homo sapiens GN=SSH1 PE=1 SV=2,SSH1,115.4,136,6.25
SLC25A22,323,64,3,3,3,Q9H936,9,Mitochondrial glutamate carrier 1 OS=Homo sapiens GN=SLC25A22 PE=1 SV=1,SLC25A22,34.4,135,9.29
CDCA8,280,7,2,2,2,Q53HL2,9,Borealin OS=Homo sapiens GN=CDCA8 PE=1 SV=2,CDCA8,31.3,133,9.86
PIGT,578,19,3,3,3,Q969N2,6,GPI transamidase component PIG-T OS=Homo sapiens GN=PIGT PE=1 SV=1,PIGT,65.7,132,8.38
IGF2BP1,577,16,4,4,3,Q9NZI8,8,Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens GN=IGF2BP1 PE=1 SV=2,IGF2BP1,63.4,131,9.2
SEMG1,462,5,4,4,4,P04279,10,Semenogelin-1 OS=Homo sapiens GN=SEMG1 PE=1 SV=2,SEMG1,52.1,131,9.29
NOL12,213,11,3,3,3,Q9UGY1,23,Nucleolar protein 12 OS=Homo sapiens GN=NOL12 PE=1 SV=1,NOL12,24.6,130,10.23
PPP2R1A,589,10,3,3,3,P30153,8,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=1 SV=4,PPP2R1A,65.3,128,5.11
CCDC47,483,22,3,3,3,Q96A33,7,Coiled-coil domain-containing protein 47 OS=Homo sapiens GN=CCDC47 PE=1 SV=1,CCDC47,55.8,126,4.87
LLGL2,1020,13,3,3,3,Q6P1M3,3,Lethal(2) giant larvae protein homolog 2 OS=Homo sapiens GN=LLGL2 PE=1 SV=2,LLGL2,113.4,122,7.52
INTS8,995,8,4,4,4,Q75QN2,5,Integrator complex subunit 8 OS=Homo sapiens GN=INTS8 PE=1 SV=1,INTS8,113.0,121,7.05
CCT4,539,11,2,2,2,P50991,5,T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4,CCT4,57.9,118,7.83
FAF2,445,12,2,2,2,Q96CS3,6,FAS-associated factor 2 OS=Homo sapiens GN=FAF2 PE=1 SV=2,FAF2,52.6,117,5.62
PCNA,261,12,3,3,3,P12004,18,Proliferating cell nuclear antigen OS=Homo sapiens GN=PCNA PE=1 SV=1,PCNA,28.8,115,4.69
KPNA3,521,11,2,2,2,O00505,7,Importin subunit alpha-4 OS=Homo sapiens GN=KPNA3 PE=1 SV=2,KPNA3,57.8,114,4.94
RPP25,199,6,2,2,2,Q9BUL9,14,Ribonuclease P protein subunit p25 OS=Homo sapiens GN=RPP25 PE=1 SV=1,RPP25,20.6,114,9.61
GPKOW,476,8,2,2,2,Q92917,6,G patch domain and KOW motifs-containing protein OS=Homo sapiens GN=GPKOW PE=1 SV=2,GPKOW,52.2,114,6.15
KIDINS220,1771,5,3,3,3,Q9ULH0,2,Kinase D-interacting substrate of 220 kDa OS=Homo sapiens GN=KIDINS220 PE=1 SV=3,KIDINS220,196.4,113,6.62
PDHA1,428,5,3,3,3,P08559-4,7,"Isoform 4 of Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens GN=PDHA1",PDHA1,47.5,111,8.54
MPDU1,247,11,3,3,3,O75352,12,Mannose-P-dolichol utilization defect 1 protein OS=Homo sapiens GN=MPDU1 PE=1 SV=2,MPDU1,26.6,111,8.94
SMARCC1,1105,8,3,3,2,Q92922,3,SWI/SNF complex subunit SMARCC1 OS=Homo sapiens GN=SMARCC1 PE=1 SV=3,SMARCC1,122.8,111,5.76
BZW1,419,7,3,3,3,Q7L1Q6,9,Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens GN=BZW1 PE=1 SV=1,BZW1,48.0,111,5.92
PHB2,299,6,2,2,2,Q99623,10,Prohibitin-2 OS=Homo sapiens GN=PHB2 PE=1 SV=2,PHB2,33.3,110,9.83
UQCRQ,82,10,2,2,2,O14949,20,Cytochrome b-c1 complex subunit 8 OS=Homo sapiens GN=UQCRQ PE=1 SV=4,UQCRQ,9.9,108,10.08
TAF6L,622,6,4,4,4,Q9Y6J9,8,TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L OS=Homo sapiens GN=TAF6L PE=1 SV=1,TAF6L,67.8,107,8.97
PRDM10,1214,6,2,2,2,Q9NQV6-6,1,Isoform 6 of PR domain zinc finger protein 10 OS=Homo sapiens GN=PRDM10,PRDM10,137.3,107,6.7
COPG1,874,6,2,2,2,Q9Y678,3,Coatomer subunit gamma-1 OS=Homo sapiens GN=COPG1 PE=1 SV=1,COPG1,97.7,106,5.47
LSM14A,463,21,4,4,4,Q8ND56,8,Protein LSM14 homolog A OS=Homo sapiens GN=LSM14A PE=1 SV=3,LSM14A,50.5,104,9.52
SCIN,715,14,8,8,8,Q9Y6U3,16,Adseverin OS=Homo sapiens GN=SCIN PE=1 SV=4,SCIN,80.4,101,5.71
RPS28,69,4,2,2,2,P62857,30,40S ribosomal protein S28 OS=Homo sapiens GN=RPS28 PE=1 SV=1,RPS28,7.8,98,10.7
TRIM56,755,7,5,5,5,Q9BRZ2,8,E3 ubiquitin-protein ligase TRIM56 OS=Homo sapiens GN=TRIM56 PE=1 SV=3,TRIM56,81.4,97,7.74
ZNF629,869,8,3,3,3,Q9UEG4,5,Zinc finger protein 629 OS=Homo sapiens GN=ZNF629 PE=1 SV=2,ZNF629,96.6,97,7.93
ZMYM4,1548,9,2,2,2,Q5VZL5,2,Zinc finger MYM-type protein 4 OS=Homo sapiens GN=ZMYM4 PE=1 SV=1,ZMYM4,172.7,95,6.84
DCUN1D3,304,9,3,3,3,Q8IWE4,17,DCN1-like protein 3 OS=Homo sapiens GN=DCUN1D3 PE=1 SV=1,DCUN1D3,34.3,95,5.12
BAZ1A,1556,10,5,5,5,Q9NRL2,3,Bromodomain adjacent to zinc finger domain protein 1A OS=Homo sapiens GN=BAZ1A PE=1 SV=2,BAZ1A,178.6,94,6.6
BCKDHA,445,10,2,2,2,P12694,5,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Homo sapiens GN=BCKDHA PE=1 SV=2",BCKDHA,50.4,94,8.27
GTF3C1,2109,13,5,5,5,Q12789,4,General transcription factor 3C polypeptide 1 OS=Homo sapiens GN=GTF3C1 PE=1 SV=4,GTF3C1,238.7,92,7.3
PCM1,2024,6,2,2,2,Q15154,1,Pericentriolar material 1 protein OS=Homo sapiens GN=PCM1 PE=1 SV=4,PCM1,228.4,91,5.02
COX15,388,9,2,2,2,Q7KZN9-2,7,Isoform 2 of Cytochrome c oxidase assembly protein COX15 homolog OS=Homo sapiens GN=COX15,COX15,43.8,91,9.64
EFNA1,205,12,4,4,4,P20827,20,Ephrin-A1 OS=Homo sapiens GN=EFNA1 PE=1 SV=2,EFNA1,23.8,91,6.83
SRCAP,3230,5,3,3,3,Q6ZRS2,1,Helicase SRCAP OS=Homo sapiens GN=SRCAP PE=1 SV=3,SRCAP,343.3,91,5.96
ZNF143,638,14,5,5,5,P52747,15,Zinc finger protein 143 OS=Homo sapiens GN=ZNF143 PE=1 SV=2,ZNF143,68.9,90,6.05
STRA13,81,6,3,3,3,A8MT69,38,Centromere protein X OS=Homo sapiens GN=STRA13 PE=1 SV=1,STRA13,9.0,90,5.9
MITF,526,9,4,4,2,O75030,6,Microphthalmia-associated transcription factor OS=Homo sapiens GN=MITF PE=1 SV=2,MITF,58.8,89,6.33
C3orf17,567,6,2,2,2,Q6NW34,6,Uncharacterized protein C3orf17 OS=Homo sapiens GN=C3orf17 PE=1 SV=3,C3orf17,64.5,88,9.74
CHMP2A,222,6,2,2,2,O43633,8,Charged multivesicular body protein 2a OS=Homo sapiens GN=CHMP2A PE=1 SV=1,CHMP2A,25.1,88,5.97
ERGIC1,290,4,2,2,2,Q969X5,12,Endoplasmic reticulum-Golgi intermediate compartment protein 1 OS=Homo sapiens GN=ERGIC1 PE=1 SV=1,ERGIC1,32.6,88,7.06
GGCT,188,3,2,2,2,O75223,12,Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1,GGCT,21.0,87,5.14
COLGALT1,622,5,2,2,2,Q8NBJ5,4,Procollagen galactosyltransferase 1 OS=Homo sapiens GN=COLGALT1 PE=1 SV=1,COLGALT1,71.6,87,7.31
TAF6,677,7,2,2,2,P49848,4,Transcription initiation factor TFIID subunit 6 OS=Homo sapiens GN=TAF6 PE=1 SV=1,TAF6,72.6,86,8.6
HIP1,1037,4,2,2,2,O00291,4,Huntingtin-interacting protein 1 OS=Homo sapiens GN=HIP1 PE=1 SV=5,HIP1,116.1,86,5.3
CASP14,242,3,3,3,3,P31944,15,Caspase-14 OS=Homo sapiens GN=CASP14 PE=1 SV=2,CASP14,27.7,86,5.58
NR2C2,596,5,4,4,3,P49116,8,Nuclear receptor subfamily 2 group C member 2 OS=Homo sapiens GN=NR2C2 PE=1 SV=1,NR2C2,65.4,85,6.28
MRPS18B,258,8,2,2,2,Q9Y676,10,"28S ribosomal protein S18b, mitochondrial OS=Homo sapiens GN=MRPS18B PE=1 SV=1",MRPS18B,29.4,84,9.38
BNIP3,194,11,3,3,3,Q12983,18,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 OS=Homo sapiens GN=BNIP3 PE=1 SV=2,BNIP3,21.5,84,6.8
CWC27,472,10,2,2,2,Q6UX04,6,Peptidyl-prolyl cis-trans isomerase CWC27 homolog OS=Homo sapiens GN=CWC27 PE=1 SV=1,CWC27,53.8,83,5.8
GADD45GIP1,222,19,2,2,2,Q8TAE8,14,Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Homo sapiens GN=GADD45GIP1 PE=1 SV=1,GADD45GIP1,25.4,83,10.02
POLR1A,1720,8,3,3,3,O95602,3,DNA-directed RNA polymerase I subunit RPA1 OS=Homo sapiens GN=POLR1A PE=1 SV=2,POLR1A,194.7,83,7.03
PLOD3,738,3,2,2,2,O60568,3,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS=Homo sapiens GN=PLOD3 PE=1 SV=1",PLOD3,84.7,82,6.05
SLC2A13,648,3,2,2,2,Q96QE2,4,Proton myo-inositol cotransporter OS=Homo sapiens GN=SLC2A13 PE=1 SV=3,SLC2A13,70.3,81,5.96
PTPRF,1907,9,3,3,3,P10586,2,Receptor-type tyrosine-protein phosphatase F OS=Homo sapiens GN=PTPRF PE=1 SV=2,PTPRF,212.7,81,6.3
PLOD1,727,7,2,2,2,Q02809,5,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 OS=Homo sapiens GN=PLOD1 PE=1 SV=2",PLOD1,83.5,81,6.95
MORF4L1,362,6,2,2,2,Q9UBU8,7,Mortality factor 4-like protein 1 OS=Homo sapiens GN=MORF4L1 PE=1 SV=2,MORF4L1,41.4,80,9.28
TMEM87A,555,8,3,3,3,Q8NBN3,8,Transmembrane protein 87A OS=Homo sapiens GN=TMEM87A PE=1 SV=3,TMEM87A,63.4,79,6.74
SMC1A,1233,7,4,4,4,Q14683,3,Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=1 SV=2,SMC1A,143.1,76,7.64
CCDC77,488,4,2,2,2,Q9BR77,6,Coiled-coil domain-containing protein 77 OS=Homo sapiens GN=CCDC77 PE=2 SV=1,CCDC77,57.5,76,8.72
UBE3C,1083,9,3,3,3,Q15386,5,Ubiquitin-protein ligase E3C OS=Homo sapiens GN=UBE3C PE=1 SV=3,UBE3C,123.8,74,6.71
XPOT,962,8,2,2,2,O43592,2,Exportin-T OS=Homo sapiens GN=XPOT PE=1 SV=2,XPOT,109.9,71,5.39
SMN1,294,4,2,2,2,Q16637,10,Survival motor neuron protein OS=Homo sapiens GN=SMN1 PE=1 SV=1,SMN1,31.8,71,6.55
NXF1,619,3,3,3,3,Q9UBU9,5,Nuclear RNA export factor 1 OS=Homo sapiens GN=NXF1 PE=1 SV=1,NXF1,70.1,71,8.51
HPDL,371,5,2,2,2,Q96IR7,10,4-hydroxyphenylpyruvate dioxygenase-like protein OS=Homo sapiens GN=HPDL PE=1 SV=1,HPDL,39.4,71,7.03
YAP1,504,15,2,2,2,P46937,4,Yorkie homolog OS=Homo sapiens GN=YAP1 PE=1 SV=2,YAP1,54.4,70,5.17
TRIP13,432,2,2,2,2,Q15645,7,Pachytene checkpoint protein 2 homolog OS=Homo sapiens GN=TRIP13 PE=1 SV=2,TRIP13,48.5,70,6.09
RPRD2,1461,5,3,3,3,Q5VT52,3,Regulation of nuclear pre-mRNA domain-containing protein 2 OS=Homo sapiens GN=RPRD2 PE=1 SV=1,RPRD2,155.9,70,7.42
MYADM,322,6,2,2,2,Q96S97,10,Myeloid-associated differentiation marker OS=Homo sapiens GN=MYADM PE=1 SV=2,MYADM,35.3,70,8.15
GSG2,798,5,2,2,2,Q8TF76,5,Serine/threonine-protein kinase haspin OS=Homo sapiens GN=GSG2 PE=1 SV=3,GSG2,88.4,67,9.16
MTPAP,582,20,2,2,2,Q9NVV4,3,"Poly(A) RNA polymerase, mitochondrial OS=Homo sapiens GN=MTPAP PE=1 SV=1",MTPAP,66.1,67,9.04
HEXIM1,359,3,2,2,2,O94992,12,Protein HEXIM1 OS=Homo sapiens GN=HEXIM1 PE=1 SV=1,HEXIM1,40.6,66,4.89
SLC35A2,396,15,2,2,2,P78381,11,UDP-galactose translocator OS=Homo sapiens GN=SLC35A2 PE=1 SV=1,SLC35A2,41.3,66,9.96
KDELR1,212,4,2,2,2,P24390,14,ER lumen protein-retaining receptor 1 OS=Homo sapiens GN=KDELR1 PE=1 SV=1,KDELR1,24.5,65,8.62
DST,7570,14,3,3,3,Q03001,0,Dystonin OS=Homo sapiens GN=DST PE=1 SV=4,DST,860.1,65,5.25
CHP1,195,7,2,2,2,Q99653,11,Calcineurin B homologous protein 1 OS=Homo sapiens GN=CHP1 PE=1 SV=3,CHP1,22.4,65,5.1
MRPL38,380,7,2,2,2,Q96DV4,5,"39S ribosomal protein L38, mitochondrial OS=Homo sapiens GN=MRPL38 PE=1 SV=2",MRPL38,44.6,65,7.53
CARM1,608,5,4,4,4,Q86X55,8,Histone-arginine methyltransferase CARM1 OS=Homo sapiens GN=CARM1 PE=1 SV=3,CARM1,65.8,64,6.73
ANLN,1124,4,2,2,2,Q9NQW6,2,Actin-binding protein anillin OS=Homo sapiens GN=ANLN PE=1 SV=2,ANLN,124.1,63,8.07
ZNF48,618,5,4,4,4,Q96MX3,8,Zinc finger protein 48 OS=Homo sapiens GN=ZNF48 PE=1 SV=2,ZNF48,67.8,63,9.36
DNAJA2,412,9,3,3,3,O60884,7,DnaJ homolog subfamily A member 2 OS=Homo sapiens GN=DNAJA2 PE=1 SV=1,DNAJA2,45.7,63,6.48
SPATA5L1,753,6,2,2,2,Q9BVQ7,3,Spermatogenesis-associated protein 5-like protein 1 OS=Homo sapiens GN=SPATA5L1 PE=1 SV=2,SPATA5L1,80.7,63,8.09
ZCCHC9,271,16,2,2,2,Q8N567,9,Zinc finger CCHC domain-containing protein 9 OS=Homo sapiens GN=ZCCHC9 PE=2 SV=2,ZCCHC9,30.5,62,9.17
LAMTOR1,161,4,3,3,3,Q6IAA8,34,Ragulator complex protein LAMTOR1 OS=Homo sapiens GN=LAMTOR1 PE=1 SV=2,LAMTOR1,17.7,62,5.15
TUBGCP2,902,3,2,2,2,Q9BSJ2,3,Gamma-tubulin complex component 2 OS=Homo sapiens GN=TUBGCP2 PE=1 SV=2,TUBGCP2,102.5,61,6.84
MARS,900,8,2,2,2,P56192,2,"Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2",MARS,101.1,61,6.16
TCERG1,1098,7,2,2,2,O14776,2,Transcription elongation regulator 1 OS=Homo sapiens GN=TCERG1 PE=1 SV=2,TCERG1,123.8,60,8.65
NEGR1,354,4,3,3,3,Q7Z3B1,13,Neuronal growth regulator 1 OS=Homo sapiens GN=NEGR1 PE=1 SV=3,NEGR1,38.7,59,6.21
CASC3,703,3,2,2,2,O15234,3,Protein CASC3 OS=Homo sapiens GN=CASC3 PE=1 SV=2,CASC3,76.2,59,6.48
ZNF768,540,8,3,3,3,Q9H5H4,7,Zinc finger protein 768 OS=Homo sapiens GN=ZNF768 PE=1 SV=2,ZNF768,60.2,59,7.97
MRPL15,296,5,2,2,2,Q9P015,5,"39S ribosomal protein L15, mitochondrial OS=Homo sapiens GN=MRPL15 PE=1 SV=1",MRPL15,33.4,58,10.01
TWISTNB,338,4,2,2,2,Q3B726,7,DNA-directed RNA polymerase I subunit RPA43 OS=Homo sapiens GN=TWISTNB PE=1 SV=1,TWISTNB,37.4,58,6.98
SIGMAR1,223,4,2,2,2,Q99720,9,Sigma non-opioid intracellular receptor 1 OS=Homo sapiens GN=SIGMAR1 PE=1 SV=1,SIGMAR1,25.1,58,5.96
ATRIP,791,3,2,2,2,Q8WXE1,7,ATR-interacting protein OS=Homo sapiens GN=ATRIP PE=1 SV=1,ATRIP,85.8,58,6.32
SETD1A,1707,11,3,3,2,O15047,2,Histone-lysine N-methyltransferase SETD1A OS=Homo sapiens GN=SETD1A PE=1 SV=3,SETD1A,185.9,58,5.14
FRG1,258,4,2,2,2,Q14331,8,Protein FRG1 OS=Homo sapiens GN=FRG1 PE=1 SV=1,FRG1,29.2,57,9.01
COL1A2,1366,2,2,2,2,P08123,1,Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=7,COL1A2,129.2,57,8.95
PRDM11,511,2,2,2,2,Q9NQV5,4,PR domain-containing protein 11 OS=Homo sapiens GN=PRDM11 PE=1 SV=2,PRDM11,57.8,56,6.18
PDIA3,505,5,2,2,2,P30101,5,Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4,PDIA3,56.7,56,6.35
DHCR24,516,11,4,4,4,Q15392,8,Delta(24)-sterol reductase OS=Homo sapiens GN=DHCR24 PE=1 SV=2,DHCR24,60.1,56,8.16
ALG10,473,6,2,2,2,Q5BKT4,5,"Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase OS=Homo sapiens GN=ALG10 PE=2 SV=1",ALG10,55.6,56,9.29
SUDS3,328,9,3,3,3,Q9H7L9,7,Sin3 histone deacetylase corepressor complex component SDS3 OS=Homo sapiens GN=SUDS3 PE=1 SV=2,SUDS3,38.1,55,5.66
NOTCH2,2471,6,3,3,3,Q04721,1,Neurogenic locus notch homolog protein 2 OS=Homo sapiens GN=NOTCH2 PE=1 SV=3,NOTCH2,265.2,55,5.14
BCAP31,246,8,2,2,2,P51572,7,B-cell receptor-associated protein 31 OS=Homo sapiens GN=BCAP31 PE=1 SV=3,BCAP31,28.0,55,8.44
ZKSCAN1,563,4,3,3,3,P17029,6,Zinc finger protein with KRAB and SCAN domains 1 OS=Homo sapiens GN=ZKSCAN1 PE=1 SV=3,ZKSCAN1,63.6,55,7.05
PPFIBP1,1011,6,2,2,2,Q86W92,3,Liprin-beta-1 OS=Homo sapiens GN=PPFIBP1 PE=1 SV=2,PPFIBP1,114.0,55,5.55
TIMM21,248,3,2,2,2,Q9BVV7,9,Mitochondrial import inner membrane translocase subunit Tim21 OS=Homo sapiens GN=TIMM21 PE=1 SV=1,TIMM21,28.2,55,9.7
MSL2,577,6,4,4,4,Q9HCI7,10,E3 ubiquitin-protein ligase MSL2 OS=Homo sapiens GN=MSL2 PE=1 SV=2,MSL2,62.5,54,7.8
NFIB,309,6,2,2,2,O00712-6,12,Isoform 6 of Nuclear factor 1 B-type OS=Homo sapiens GN=NFIB,NFIB,33.5,52,8.63
